files,TotalReads,MappedReads,MappedReadsPercent,ForwardStrand,ForwardStrandPercent,ReverseStrand,ReverseStrandPercent,FailedQCPercent,DuplicatesPercent,PairedEndReads,PairedEndReadsPercent,ProperPairs,ProperPairsPercent,BothPairsMapped,BothPairsMappedPercent,Read1,Read2,Singletons,SingletonsPercent
N-034,90672674,88719470,97.85%,45635650,50.33%,45037024,49.67%,0%,0%,90672674,100%,61760686,68.11%,87554558,96.56%,145289266,245383408,1164912,1.28%
N-035,93743134,92057137,98.20%,47162921,50.31%,46580213,49.69%,0%,0%,93743134,100%,67149265,71.63%,91072941,97.15%,146802136,246940998,984196,1.05%
N-036,90115053,88461485,98.17%,45334618,50.31%,44780435,49.69%,0%,0%,90115053,100%,64827186,71.94%,87491013,97.09%,145007710,245107343,970472,1.08%
N-037,101246270,99408184,98.18%,50926127,50.30%,50320143,49.70%,0%,0%,101246270,100%,73127250,72.23%,98357168,97.15%,150566751,250679519,1051016,1.04%
N-038,84131705,82554999,98.13%,42329440,50.31%,41802265,49.69%,0%,0%,84131705,100%,60609441,72.04%,81609936,97.00%,142019949,242111756,945063,1.12%
N-039,104797916,102817210,98.11%,52769538,50.35%,52028378,49.65%,0%,0%,104797916,100%,74571149,71.16%,101739552,97.08%,152340194,252457722,1077658,1.03%
N-040,118441947,116337340,98.22%,59608682,50.33%,58833265,49.67%,0%,0%,118441947,100%,86452715,72.99%,115196763,97.26%,159134324,259307623,1140577,0.96%
N-041,88055052,86149007,97.84%,44330035,50.34%,43725017,49.66%,0%,0%,88055052,100%,61071438,69.36%,85017902,96.55%,143969871,244085181,1131105,1.28%
N-042,112354015,110418581,98.28%,56559038,50.34%,55794977,49.66%,0%,0%,112354015,100%,82760321,73.66%,109353225,97.33%,156086489,256267526,1065356,0.95%
N-043,77002866,75492828,98.04%,38752218,50.33%,38250648,49.67%,0%,0%,77002866,100%,54748568,71.10%,74565093,96.83%,138456630,238546236,927735,1.20%
N-044,98944175,97096609,98.13%,49786329,50.32%,49157846,49.68%,0%,0%,98944175,100%,69588393,70.33%,96026130,97.05%,149402972,249541203,1070479,1.08%
N-045,133004594,130395077,98.04%,66918758,50.31%,66085836,49.69%,0%,0%,133004594,100%,92562920,69.59%,128931070,96.94%,166386773,266617821,1464007,1.10%
O-001,64885478,63735244,98.23%,32637474,50.30%,32248004,49.70%,0%,0%,64885478,100%,45606451,70.29%,62998539,97.09%,132403448,232482030,736705,1.14%
O-002,108690870,106657103,98.13%,54684026,50.31%,54006844,49.69%,0%,0%,108690870,100%,75366240,69.34%,105469906,97.04%,154256355,254434515,1187197,1.09%
O-003,87489748,85595771,97.84%,44079301,50.38%,43410447,49.62%,0%,0%,87489748,100%,60083378,68.67%,84499268,96.58%,143691213,243798535,1096503,1.25%
O-004,90813271,89124601,98.14%,45679180,50.30%,45134091,49.70%,0%,0%,90813271,100%,63642556,70.08%,88108309,97.02%,145342689,245470582,1016292,1.12%
O-005,95898538,93885778,97.90%,48289297,50.35%,47609241,49.65%,0%,0%,95898538,100%,66882360,69.74%,92698054,96.66%,147879183,248019355,1187724,1.24%
O-006,100423660,98439871,98.02%,50557803,50.34%,49865857,49.66%,0%,0%,100423660,100%,72320342,72.02%,97281531,96.87%,150128308,250295352,1158340,1.15%
O-007,106289300,104246758,98.08%,53493708,50.33%,52795592,49.67%,0%,0%,106289300,100%,76277674,71.76%,103079571,96.98%,153057850,253231450,1167187,1.10%
O-008,121659828,119014295,97.83%,61341922,50.42%,60317906,49.58%,0%,0%,121659828,100%,85523494,70.30%,117622898,96.68%,160716560,260943268,1391397,1.14%
O-009,102138421,100134845,98.04%,51415934,50.34%,50722487,49.66%,0%,0%,102138421,100%,72627717,71.11%,98978028,96.91%,150987208,251151213,1156817,1.13%
O-010,98215117,96354746,98.11%,49419118,50.32%,48795999,49.68%,0%,0%,98215117,100%,69834880,71.10%,95240087,96.97%,149013930,249201187,1114659,1.13%
