files,TotalReads,MappedReads,MappedReadsPercent,ForwardStrand,ForwardStrandPercent,ReverseStrand,ReverseStrandPercent,FailedQCPercent,DuplicatesPercent,PairedEndReads,PairedEndReadsPercent,ProperPairs,ProperPairsPercent,BothPairsMapped,BothPairsMappedPercent,Read1,Read2,Singletons,SingletonsPercent
O-011,72220572,70888882,98.16%,36331188,50.31%,35889384,49.69%,0%,0%,72220572,100%,50498048,69.92%,70052419,97.00%,136044342,236176230,836463,1.16%
O-012,100107368,98364066,98.26%,50377112,50.32%,49730256,49.68%,0%,0%,100107368,100%,73363599,73.28%,97352371,97.25%,149977093,250130275,1011695,1.01%
O-013,87816035,86080202,98.02%,44218683,50.35%,43597352,49.65%,0%,0%,87816035,100%,63863065,72.72%,85071278,96.87%,143838931,243977104,1008924,1.15%
O-014,38275502,37893271,99.00%,19143823,50.02%,19131679,49.98%,0%,0%,38275502,100%,28510243,74.49%,37581510,98.19%,119119209,219156293,311761,0.81%
O-015,93749441,92317208,98.47%,47159607,50.30%,46589834,49.70%,0%,0%,93749441,100%,71734081,76.52%,91510324,97.61%,146803560,246945881,806884,0.86%
O-016,90816467,89300231,98.33%,45681083,50.30%,45135384,49.70%,0%,0%,90816467,100%,66744280,73.49%,88402465,97.34%,145348733,245467734,897766,0.99%
O-017,83627170,82087735,98.16%,42075391,50.31%,41551779,49.69%,0%,0%,83627170,100%,61427051,73.45%,81164681,97.06%,141744385,241882785,923054,1.10%
O-018,79626884,77666482,97.54%,40433419,50.78%,39193465,49.22%,0%,0%,79626884,100%,58001490,72.84%,76968761,96.66%,139761383,239865501,697721,0.88%
O-019,115157546,113054849,98.17%,57945385,50.32%,57212161,49.68%,0%,0%,115157546,100%,82991728,72.07%,111874389,97.15%,157502414,257655132,1180460,1.03%
O-020,98482767,97007807,98.50%,49502085,50.26%,48980682,49.74%,0%,0%,98482767,100%,71863195,72.97%,96131112,97.61%,149158874,249323893,876695,0.89%
O-022,82643180,81135299,98.18%,41601594,50.34%,41041586,49.66%,0%,0%,82643180,100%,60300255,72.96%,80252762,97.11%,141266652,241376528,882537,1.07%
O-023,103798890,102173999,98.43%,52176582,50.27%,51622308,49.73%,0%,0%,103798890,100%,74729046,71.99%,101208597,97.50%,151830938,251967952,965402,0.93%
O-024,92680918,90847802,98.02%,46649460,50.33%,46031458,49.67%,0%,0%,92680918,100%,64506529,69.60%,89794546,96.89%,146275975,246404943,1053256,1.14%
O-025,94620439,93110782,98.40%,47558187,50.26%,47062252,49.74%,0%,0%,94620439,100%,66526909,70.31%,92193353,97.43%,147247928,247372511,917429,0.97%
O-026,115620795,113572373,98.23%,58149383,50.29%,57471412,49.71%,0%,0%,115620795,100%,81248625,70.27%,112396922,97.21%,157736582,257884213,1175451,1.02%
O-027,133123223,130715303,98.19%,66975184,50.31%,66148039,49.69%,0%,0%,133123223,100%,92164488,69.23%,129397489,97.20%,166451677,266671546,1317814,0.99%
O-028,80327388,78744819,98.03%,40411993,50.31%,39915395,49.69%,0%,0%,80327388,100%,55467831,69.05%,77781978,96.83%,140116059,240211329,962841,1.20%
O-030,93801698,91869742,97.94%,47209409,50.33%,46592289,49.67%,0%,0%,93801698,100%,64150741,68.39%,90718344,96.71%,146830377,246971321,1151398,1.23%
O-031,84362504,82812869,98.16%,42436253,50.30%,41926251,49.70%,0%,0%,84362504,100%,58077585,68.84%,81877882,97.05%,142112259,242250245,934987,1.11%
O-032,103207027,101651887,98.49%,51911106,50.30%,51295921,49.70%,0%,0%,103207027,100%,76320207,73.95%,100781796,97.65%,151546840,251660187,870091,0.84%
O-033,80051186,78565717,98.14%,40289573,50.33%,39761613,49.67%,0%,0%,80051186,100%,57912788,72.34%,77674297,97.03%,139973163,240078023,891420,1.11%
O-034,116313575,114476541,98.42%,58487337,50.28%,57826238,49.72%,0%,0%,116313575,100%,84236198,72.42%,113441959,97.53%,158110328,258203247,1034582,0.89%
O-035,116949525,115362663,98.64%,58804462,50.28%,58145063,49.72%,0%,0%,116949525,100%,86848627,74.26%,114487272,97.89%,158398672,258550853,875391,0.75%
O-036,104366833,102665135,98.37%,52540628,50.34%,51826205,49.66%,0%,0%,104366833,100%,77151416,73.92%,101746172,97.49%,152125752,252241081,918963,0.88%
O-037,84254135,82824064,98.30%,42387978,50.31%,41866157,49.69%,0%,0%,84254135,100%,61229429,72.67%,81982783,97.30%,142084891,242169244,841281,1.00%
O-038,68948164,67834600,98.38%,34683394,50.30%,34264770,49.70%,0%,0%,68948164,100%,49558590,71.88%,67164765,97.41%,134441602,234506562,669835,0.97%
O-039,82959014,81890052,98.71%,41692942,50.26%,41266072,49.74%,0%,0%,82959014,100%,60313351,72.70%,81213571,97.90%,141393827,241565187,676481,0.82%
O-040,58640191,57585754,98.20%,29488140,50.29%,29152051,49.71%,0%,0%,58640191,100%,40027813,68.26%,56897134,97.03%,129314609,229325582,688620,1.17%
O-041,99058381,97463444,98.39%,49813156,50.29%,49245225,49.71%,0%,0%,99058381,100%,71600755,72.28%,96528386,97.45%,149491091,249567290,935058,0.94%
P-001,80627305,79366929,98.44%,40550171,50.29%,40077134,49.71%,0%,0%,80627305,100%,59367701,73.63%,78621192,97.51%,140290950,240336355,745737,0.92%
P-002,80048623,78802792,98.44%,40282723,50.32%,39765900,49.68%,0%,0%,80048623,100%,61577792,76.93%,78078060,97.54%,139968287,240080336,724732,0.91%
P-003,84377421,82831014,98.17%,42488752,50.36%,41888669,49.64%,0%,0%,84377421,100%,60822958,72.08%,81949695,97.12%,142151417,242226004,881319,1.04%
P-004,88228667,86819555,98.40%,44389427,50.31%,43839240,49.69%,0%,0%,88228667,100%,63953530,72.49%,86008204,97.48%,144079437,244149230,811351,0.92%
P-005,76453813,75272271,98.45%,38440276,50.28%,38013537,49.72%,0%,0%,76453813,100%,54761360,71.63%,74533721,97.49%,138202126,238251687,738550,0.97%
P-006,83886813,82444111,98.28%,42216234,50.33%,41670579,49.67%,0%,0%,83886813,100%,59858747,71.36%,81596941,97.27%,141907007,241979806,847170,1.01%
P-007,123843743,121953526,98.47%,62300118,50.31%,61543625,49.69%,0%,0%,123843743,100%,91840136,74.16%,120916408,97.64%,161853344,261990399,1037118,0.84%
P-008,85407210,84090035,98.46%,42964408,50.31%,42442802,49.69%,0%,0%,85407210,100%,63877156,74.79%,83309408,97.54%,142665911,242741299,780627,0.91%
P-009,83196975,82096704,98.68%,41859554,50.31%,41337421,49.69%,0%,0%,83196975,100%,62913449,75.62%,81458542,97.91%,141529247,241667728,638162,0.77%
P-010,113997019,112017832,98.26%,57347643,50.31%,56649376,49.69%,0%,0%,113997019,100%,83105980,72.90%,110887011,97.27%,156925370,257071649,1130821,0.99%
P-011,77707534,76380549,98.29%,39130653,50.36%,38576881,49.64%,0%,0%,77707534,100%,55388108,71.28%,75641755,97.34%,138832215,238875319,738794,0.95%
P-012,117111546,115238712,98.40%,58904778,50.30%,58206768,49.70%,0%,0%,117111546,100%,84799472,72.41%,114198836,97.51%,158497824,258613722,1039876,0.89%
P-013,125661302,123758645,98.49%,63188668,50.28%,62472634,49.72%,0%,0%,125661302,100%,92714353,73.78%,122703907,97.65%,162767069,262894233,1054738,0.84%
P-014,92988212,91757972,98.68%,46757199,50.28%,46231013,49.72%,0%,0%,92988212,100%,70789885,76.13%,91037398,97.90%,146390168,246598044,720574,0.77%
P-015,61639393,60632376,98.37%,31002836,50.30%,30636557,49.70%,0%,0%,61639393,100%,43705281,70.90%,60001420,97.34%,130804637,230834756,630956,1.02%
P-016,109799039,107941972,98.31%,55245500,50.32%,54553539,49.68%,0%,0%,109799039,100%,78335437,71.34%,106899513,97.36%,154858727,254940312,1042459,0.95%
P-017,170831688,168309378,98.52%,85895784,50.28%,84935904,49.72%,0%,0%,170831688,100%,122017122,71.43%,166988706,97.75%,185319799,285511889,1320672,0.77%
P-018,93632415,91949142,98.20%,47113168,50.32%,46519247,49.68%,0%,0%,93632415,100%,66161405,70.66%,90960524,97.15%,146789178,246843237,988618,1.06%
P-019,133279867,131089969,98.36%,67034206,50.30%,66245661,49.70%,0%,0%,133279867,100%,95446627,71.61%,129895715,97.46%,166588590,266691277,1194254,0.90%
P-020,140287750,138287085,98.57%,70524784,50.27%,69762966,49.73%,0%,0%,140287750,100%,99679467,71.05%,137181549,97.79%,170040169,270247581,1105536,0.79%
P-021,101250906,99504521,98.28%,50927178,50.30%,50323728,49.70%,0%,0%,101250906,100%,71870156,70.98%,98485437,97.27%,150582978,250667928,1019084,1.01%
P-022,107617026,105722994,98.24%,54159468,50.33%,53457558,49.67%,0%,0%,107617026,100%,76151431,70.76%,104656645,97.25%,153759067,253857959,1066349,0.99%
P-023,111406762,109468051,98.26%,56046665,50.31%,55360097,49.69%,0%,0%,111406762,100%,78409859,70.38%,108370827,97.27%,155656012,255750750,1097224,0.98%
P-024,70473618,69011375,97.93%,35487488,50.36%,34986130,49.64%,0%,0%,70473618,100%,48628898,69.00%,68095570,96.63%,135229504,235244114,915805,1.30%
P-025,79050704,77649275,98.23%,39788867,50.33%,39261837,49.67%,0%,0%,79050704,100%,56798874,71.85%,76810722,97.17%,139498606,239552098,838553,1.06%
P-026,86637790,85132399,98.26%,43595390,50.32%,43042400,49.68%,0%,0%,86637790,100%,60588918,69.93%,84233239,97.22%,143284784,243353006,899160,1.04%
P-027,68037819,66825749,98.22%,34215424,50.29%,33822395,49.71%,0%,0%,68037819,100%,46991198,69.07%,66048701,97.08%,133997906,234039913,777048,1.14%
P-028,99498922,97684011,98.18%,50114098,50.37%,49384824,49.63%,0%,0%,99498922,100%,70688778,71.04%,96687681,97.17%,149683834,249815088,996330,1.00%
P-029,100802264,98893423,98.11%,50728018,50.32%,50074246,49.68%,0%,0%,100802264,100%,68977910,68.43%,97775263,97.00%,150358867,250443397,1118160,1.11%
P-030,114314058,112126244,98.09%,57517835,50.32%,56796223,49.68%,0%,0%,114314058,100%,77326999,67.64%,110864471,96.98%,157099621,257214437,1261773,1.10%
P-031,93148313,91100380,97.80%,46903100,50.35%,46245213,49.65%,0%,0%,93148313,100%,61905754,66.46%,89875747,96.49%,146542112,246606201,1224633,1.31%
P-032,107567583,105566653,98.14%,54101711,50.30%,53465872,49.70%,0%,0%,107567583,100%,73379316,68.22%,104385602,97.04%,153743729,253823854,1181051,1.10%
P-033,87975325,86624763,98.46%,44233265,50.28%,43742060,49.72%,0%,0%,87975325,100%,62286642,70.80%,85815569,97.55%,143962117,244013208,809194,0.92%
P-034,87033212,85442498,98.17%,43808083,50.33%,43225129,49.67%,0%,0%,87033212,100%,60482629,69.49%,84501660,97.09%,143488705,243544507,940838,1.08%
P-035,87475653,85690438,97.96%,44079811,50.39%,43395842,49.61%,0%,0%,87475653,100%,59727477,68.28%,84672703,96.80%,143704390,243771263,1017735,1.16%
P-036,88895339,87448819,98.37%,44719038,50.31%,44176301,49.69%,0%,0%,88895339,100%,61249378,68.90%,86577185,97.39%,144390962,244504377,871634,0.98%
P-037,67692522,66381823,98.06%,34076615,50.34%,33615907,49.66%,0%,0%,67692522,100%,46121836,68.13%,65565962,96.86%,133830122,233862400,815861,1.21%
P-038,77601487,76185307,98.18%,39040147,50.31%,38561340,49.69%,0%,0%,77601487,100%,53284288,68.66%,75296999,97.03%,138782766,238818721,888308,1.14%
P-039,96829478,94978764,98.09%,48718647,50.31%,48110831,49.69%,0%,0%,96829478,100%,66051896,68.21%,93890800,96.97%,148386233,248443245,1087964,1.12%
P-040,90311837,88434435,97.92%,45449654,50.33%,44862183,49.67%,0%,0%,90311837,100%,60248527,66.71%,87286407,96.65%,145134599,245177238,1148028,1.27%
P-041,72032041,70807943,98.30%,36240229,50.31%,35791812,49.69%,0%,0%,72032041,100%,48714638,67.63%,70063713,97.27%,135977735,236054306,744230,1.03%
P-042,89089536,87673363,98.41%,44758885,50.24%,44330651,49.76%,0%,0%,89089536,100%,59447515,66.73%,86761530,97.39%,144445822,244643714,911833,1.02%
P-044,85540404,84238889,98.48%,42984460,50.25%,42555944,49.75%,0%,0%,85540404,100%,58756901,68.69%,83412511,97.51%,142702763,242837641,826378,0.97%
P-045,96453611,94627606,98.11%,48515123,50.30%,47938488,49.70%,0%,0%,96453611,100%,65860452,68.28%,93511597,96.95%,148181039,248272572,1116009,1.16%
P-046,82208548,80628794,98.08%,41373400,50.33%,40835148,49.67%,0%,0%,82208548,100%,56091047,68.23%,79676911,96.92%,141081834,241126714,951883,1.16%
P-047,51703633,50660274,97.98%,26095367,50.47%,25608266,49.53%,0%,0%,51703633,100%,35146587,67.98%,50092734,96.88%,125838191,225865442,567540,1.10%
P-048,63535808,62373426,98.17%,31977471,50.33%,31558337,49.67%,0%,0%,63535808,100%,43724409,68.82%,61680973,97.08%,131758401,231777407,692453,1.09%
P-049,93541975,91848883,98.19%,47043713,50.29%,46498262,49.71%,0%,0%,93541975,100%,64039987,68.46%,90816725,97.09%,146734680,246807295,1032158,1.10%
P-050,86659420,84910373,97.98%,43625379,50.34%,43034041,49.66%,0%,0%,86659420,100%,59117853,68.22%,83892440,96.81%,143305612,243353808,1017933,1.17%
